;,DRT,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
2018,6,884,1.85,2.3,2.02,0.99,0.11,3.05,8.68,0.5,0
2018,7,837.5,3.27,4.11,3.35,0.32,0.05,0.07,8.87,1.35,0.2
2018,8,461,0,0,1.74,0,0.15,0.9,0,1.75,0
2018,9,443.25,1.25,1.21,0.98,0.68,0.3,0.76,6.43,0.3,0
2018,10,443.85,0.9,0.8,0.88,0,0.1,0.88,3.04,0.95,0
2018,11,447,1.09,2.44,0.74,0.15,0,0.5,6.31,0.75,0.06
2018,12,450,0.45,1.2,0.45,0.14,0.1,0.98,3.21,0.5,0.05
2019,1,884,0.45,1.23,0.61,0,0,1.99,3.96,0.45,0.08
2019,2,884,0.9,0.34,0.19,0,0,0.5,4.28,0.6,0.06
2019,3,884,0,0.23,0.18,0,0,0.15,1.45,0,0.04
2019,4,837.5,0,0,0.05,0,0,0.05,0.29,0,0
2019,5,461,0.5,0.5,0.03,0.21,0,0,3.63,0.35,0
2019,6,443.25,1.95,7.59,2.98,0.52,0.45,0,9.64,0.65,0
2019,7,443.85,3.1,5.73,3.26,0.64,0.2,0.97,7.72,1,0.2
2019,8,447,1.88,2.86,0.89,0.15,0.1,0.1,5.39,0,0
2019,9,450,0.7,1.02,1.15,0,0,0.55,3.05,1.2,0
2019,10,884,0.25,4.1,0.55,0.29,0.1,0.32,4.64,0.55,0
2019,11,884,0.15,1.1,0,0.08,0.05,0.62,0.82,0,0.06
2019,12,884,0,1.2,0.1,0,0,1.55,0.57,0,0.05
2020,1,837.5,0.15,1.6,0.6,0,0.05,1.75,0.15,0,0
2020,2,461,1.2,2.46,0.5,0,0.03,1.4,1.53,0.1,0.2
2020,3,443.25,0,0.33,0,0,0.01,0,0.58,0,0
2020,4,443.85,0,0.54,0.2,0.14,0,0.05,0.81,0,0
2020,5,447,0.65,4.64,0.18,0.86,0.11,0,1.01,0.75,0
2020,6,450,3.2,10.03,2.86,1.5,0.37,0.2,19.06,1.8,0
2020,7,884,3,10.51,2.28,1.27,0.75,0.55,9.97,0.93,0
2020,8,884,0.4,0.73,0.41,0.14,0.43,0.11,1.01,0.2,0
2020,9,884,0.45,2.05,0.99,0,0.56,0.35,1.22,0.15,0
2020,10,837.5,0.15,1.38,1.05,0.14,0.59,0.95,3.03,0.3,0
2020,11,461,0.2,1.33,0.6,0.08,0.09,1.23,2.87,0.35,0
2020,12,443.25,0.6,0.93,0.25,0,0.08,0.7,3.82,0.3,0
2021,1,443.85,0.15,2.08,0.5,0,0.04,1.3,1.52,0.4,0
2021,2,447,0.1,0.85,0.64,0,0.02,2.75,1.66,0,0
2021,3,450,0.35,0.43,0,0,0.01,0.1,0.14,0,0
2021,4,884,0.35,0.53,0.05,0.05,0,0,0.58,0.2,0
2021,5,884,0.3,0.15,0,0,0.12,0,0.14,0.15,0
2021,6,884,0.85,5.64,0.77,0,0.3,0.65,1.2,0.2,0
2021,7,837.5,3.63,11.55,2.46,0.24,0.71,0.5,7.41,0.85,0
2021,8,461,0.95,1.68,1.07,0.39,0.39,0.8,2.14,0,0
2021,9,443.25,1.05,4.58,1.23,0.43,0.47,0.18,6.8,0.4,0
2021,10,443.85,2.35,0.85,0.65,0.15,0.49,0.53,3.51,0.65,0
2021,11,447,0.55,3.21,0.81,0,0.09,1.18,2.8,1.4,0
2021,12,450,0.62,0.75,0.1,0,0.06,0.4,0.73,0,0
2022,1,27,0.1,2.5,0.35,0,0,1.65,1,0,0
2022,2,27,0.05,0.6,0,0,0,0,0.51,0,0
2022,3,27,0.03,0.1,0.13,0,0,0,0.37,0,0.1
2022,4,66,0.1,1,0.35,0,0,1.3,1.14,0,0
2022,5,66.5,0.5,1.6,0,0.03,0,0,0.9,0.02,0
2022,6,80.5,1.15,0.75,0.53,0.22,0.1,0.3,3.99,0.2,0
2022,7,30.5,3.05,10.73,5.73,1.81,0.94,0.16,11.57,1,0
2022,8,122,0.64,5.59,4.52,2.13,0.3,0.1,5.48,0.55,0
2022,9,100,0.55,1.4,1.55,0.33,0.5,0.65,2.17,0.1,0
2022,10,27,1.3,3.25,0.45,0.75,0.75,1.45,7.18,0.7,0
2022,11,27,1.7,2.41,0.75,0,0,0.71,1.99,0.1,0
2022,12,27,1.83,3.05,0.9,0.15,0.2,2.05,2.5,0.5,0
2023,1,66,0.9,1.1,0.08,0.5,0,1.01,0.93,0,0
2023,2,66.5,1.1,0.95,0.2,0,0,1.55,0.45,0,0.1
2023,3,80.5,1.3,1.34,0.2,0.15,0,0.15,1.39,0.6,0.1
2023,4,30.5,0.2,0.1,0.05,0,0,0.2,1.36,0.15,0
2023,5,122,0.85,3.8,1.15,0,0.45,0.15,1.85,0.55,0
2023,6,100,2.8,2.12,1.6,0.68,0.8,0,6.13,0.15,0
2023,7,27,2.3,14.49,3.02,1.01,1.8,0.15,5.49,0.9,0
2023,8,27,2.55,7.42,1.94,0.4,1.15,0.97,7.77,1.55,0
2023,9,27,6.15,9.6,1.61,0.5,1.45,1.4,15.35,1,0
2023,10,66,2.4,8.3,1.8,0.2,1.41,1.72,6.21,1.35,0
2023,11,66.5,1.85,4.6,0.85,0,0.3,1.3,2.2,0.25,0
2023,12,80.5,0.45,3.5,0.6,0.1,0,1.05,1.35,0,0
2024,1,30.5,0.7,1.5,0.62,0.3,0.02,0,2.15,0,0.4
2024,2,122,5.45,1,0.1,0.45,0.01,1.5,0.9,0,0
2024,3,100,0.6,0.5,0.45,0.3,0,0.65,1.65,0.45,0
2024,4,27,0.4,1.1,0.3,0.15,0,0,1,0,0
2024,5,27,0.7,2.2,0.1,0,0.14,0,1.05,0,0
2024,6,27,6.3,11.02,3.57,1.15,0.4,0.05,9.5,2.45,0
2024,7,66,4.45,17.68,4.5,3.05,0.88,0.45,14,0.4,1
2024,8,66.5,4.25,3.2,1.15,0.6,0.47,0.95,6.1,1.7,0
2024,9,80.5,3.75,2.5,0.38,0.65,0.6,4.67,3.45,1.85,0
2024,10,30.5,1.6,6.94,1.55,2.7,0.67,0.75,4.5,3.65,0
2024,11,122,1.7,5.7,0.94,0.55,0.11,0.75,3.8,0.15,0.3
2024,12,100,2.4,3.7,0,0,0.07,0.72,1.15,0.15,0.25
2025,1,,,,,,,,,,
2025,2,,,,,,,,,,
2025,3,,,,,,,,,,
2025,4,,,,,,,,,,
2025,5,,,,,,,,,,
2025,6,,,,,,,,,,
2025,7,,,,,,,,,,
2025,8,,,,,,,,,,
2025,9,,,,,,,,,,
2025,10,,,,,,,,,,
2025,11,,,,,,,,,,
2025,12,,,,,,,,,,
2026,1,,,,,,,,,,
2026,2,,,,,,,,,,
2026,3,,,,,,,,,,
2026,4,,,,,,,,,,
2026,5,,,,,,,,,,
2026,6,,,,,,,,,,
2026,7,,,,,,,,,,
2026,8,,,,,,,,,,
2026,9,,,,,,,,,,
2026,10,,,,,,,,,,
2026,11,,,,,,,,,,
2026,12,,,,,,,,,,
2027,1,,,,,,,,,,
2027,2,,,,,,,,,,
2027,3,,,,,,,,,,
2027,4,,,,,,,,,,
2027,5,,,,,,,,,,
2027,6,,,,,,,,,,
2027,7,,,,,,,,,,
2027,8,,,,,,,,,,
2027,9,,,,,,,,,,
2027,10,,,,,,,,,,
2027,11,,,,,,,,,,
2027,12,,,,,,,,,,
2028,1,,,,,,,,,,
2028,2,,,,,,,,,,
2028,3,,,,,,,,,,
2028,4,,,,,,,,,,
2028,5,,,,,,,,,,
2028,6,,,,,,,,,,
2028,7,,,,,,,,,,
2028,8,,,,,,,,,,
2028,9,,,,,,,,,,
2028,10,,,,,,,,,,
2028,11,,,,,,,,,,
2028,12,,,,,,,,,,
2029,1,,,,,,,,,,
2029,2,,,,,,,,,,
2029,3,,,,,,,,,,
2029,4,,,,,,,,,,
2029,5,,,,,,,,,,
2029,6,,,,,,,,,,
2029,7,,,,,,,,,,
2029,8,,,,,,,,,,
2029,9,,,,,,,,,,
2029,10,,,,,,,,,,
2029,11,,,,,,,,,,
2029,12,,,,,,,,,,
2030,1,,,,,,,,,,
2030,2,,,,,,,,,,
2030,3,,,,,,,,,,
2030,4,,,,,,,,,,
2030,5,,,,,,,,,,
2030,6,,,,,,,,,,
2030,7,,,,,,,,,,
2030,8,,,,,,,,,,
2030,9,,,,,,,,,,
2030,10,,,,,,,,,,
2030,11,,,,,,,,,,
2030,12,,,,,,,,,,
2031,1,,,,,,,,,,
2031,2,,,,,,,,,,
2031,3,,,,,,,,,,
2031,4,,,,,,,,,,
2031,5,,,,,,,,,,
2031,6,,,,,,,,,,
2031,7,,,,,,,,,,
2031,8,,,,,,,,,,
2031,9,,,,,,,,,,
2031,10,,,,,,,,,,
2031,11,,,,,,,,,,
2031,12,,,,,,,,,,
2032,1,,,,,,,,,,
2032,2,,,,,,,,,,
2032,3,,,,,,,,,,
2032,4,,,,,,,,,,
2032,5,,,,,,,,,,
2032,6,,,,,,,,,,
2032,7,,,,,,,,,,
2032,8,,,,,,,,,,
2032,9,,,,,,,,,,
2032,10,,,,,,,,,,
2032,11,,,,,,,,,,
2032,12,,,,,,,,,,
2033,1,,,,,,,,,,
2033,2,,,,,,,,,,
2033,3,,,,,,,,,,
2033,4,,,,,,,,,,
2033,5,,,,,,,,,,
2033,6,,,,,,,,,,
2033,7,,,,,,,,,,
2033,8,,,,,,,,,,
2033,9,,,,,,,,,,
2033,10,,,,,,,,,,
2033,11,,,,,,,,,,
2033,12,,,,,,,,,,
2034,1,,,,,,,,,,
2034,2,,,,,,,,,,
2034,3,,,,,,,,,,
2034,4,,,,,,,,,,
2034,5,,,,,,,,,,
2034,6,,,,,,,,,,
2034,7,,,,,,,,,,
2034,8,,,,,,,,,,
2034,9,,,,,,,,,,
2034,10,,,,,,,,,,
2034,11,,,,,,,,,,
2034,12,,,,,,,,,,
2035,1,,,,,,,,,,
2035,2,,,,,,,,,,
2035,3,,,,,,,,,,
2035,4,,,,,,,,,,
2035,5,,,,,,,,,,
2035,6,,,,,,,,,,
2035,7,,,,,,,,,,
2035,8,,,,,,,,,,
2035,9,,,,,,,,,,
2035,10,,,,,,,,,,
2035,11,,,,,,,,,,
2035,12,,,,,,,,,,
2036,1,,,,,,,,,,
2036,2,,,,,,,,,,
2036,3,,,,,,,,,,
2036,4,,,,,,,,,,
2036,5,,,,,,,,,,
2036,6,,,,,,,,,,
2036,7,,,,,,,,,,
2036,8,,,,,,,,,,
2036,9,,,,,,,,,,
2036,10,,,,,,,,,,
2036,11,,,,,,,,,,
2036,12,,,,,,,,,,
2037,1,,,,,,,,,,
2037,2,,,,,,,,,,
2037,3,,,,,,,,,,
2037,4,,,,,,,,,,
2037,5,,,,,,,,,,
2037,6,,,,,,,,,,
2037,7,,,,,,,,,,
2037,8,,,,,,,,,,
2037,9,,,,,,,,,,
2037,10,,,,,,,,,,
2037,11,,,,,,,,,,
2037,12,,,,,,,,,,
2038,1,,,,,,,,,,
2038,2,,,,,,,,,,
2038,3,,,,,,,,,,
2038,4,,,,,,,,,,
2038,5,,,,,,,,,,
2038,6,,,,,,,,,,
2038,7,,,,,,,,,,
2038,8,,,,,,,,,,
2038,9,,,,,,,,,,
2038,10,,,,,,,,,,
2038,11,,,,,,,,,,
2038,12,,,,,,,,,,
2039,1,,,,,,,,,,
2039,2,,,,,,,,,,
2039,3,,,,,,,,,,
2039,4,,,,,,,,,,
2039,5,,,,,,,,,,
2039,6,,,,,,,,,,
2039,7,,,,,,,,,,
2039,8,,,,,,,,,,
2039,9,,,,,,,,,,
2039,10,,,,,,,,,,
2039,11,,,,,,,,,,
2039,12,,,,,,,,,,
2040,1,,,,,,,,,,
2040,2,,,,,,,,,,
2040,3,,,,,,,,,,
2040,4,,,,,,,,,,
2040,5,,,,,,,,,,
2040,6,,,,,,,,,,
2040,7,,,,,,,,,,
2040,8,,,,,,,,,,
2040,9,,,,,,,,,,
2040,10,,,,,,,,,,
2040,11,,,,,,,,,,
2040,12,,,,,,,,,,
2041,1,,,,,,,,,,
2041,2,,,,,,,,,,
2041,3,,,,,,,,,,
2041,4,,,,,,,,,,
2041,5,,,,,,,,,,
2041,6,,,,,,,,,,
2041,7,,,,,,,,,,
2041,8,,,,,,,,,,
2041,9,,,,,,,,,,
2041,10,,,,,,,,,,
2041,11,,,,,,,,,,
2041,12,,,,,,,,,,
2042,1,,,,,,,,,,
2042,2,,,,,,,,,,
2042,3,,,,,,,,,,
2042,4,,,,,,,,,,
2042,5,,,,,,,,,,
2042,6,,,,,,,,,,
2042,7,,,,,,,,,,
2042,8,,,,,,,,,,
2042,9,,,,,,,,,,
2042,10,,,,,,,,,,
2042,11,,,,,,,,,,
2042,12,,,,,,,,,,
2043,1,,,,,,,,,,
2043,2,,,,,,,,,,
2043,3,,,,,,,,,,
2043,4,,,,,,,,,,
2043,5,,,,,,,,,,
2043,6,,,,,,,,,,
2043,7,,,,,,,,,,
2043,8,,,,,,,,,,
2043,9,,,,,,,,,,
2043,10,,,,,,,,,,
2043,11,,,,,,,,,,
2043,12,,,,,,,,,,
2044,1,,,,,,,,,,
2044,2,,,,,,,,,,
2044,3,,,,,,,,,,
2044,4,,,,,,,,,,
2044,5,,,,,,,,,,
2044,6,,,,,,,,,,
2044,7,,,,,,,,,,
2044,8,,,,,,,,,,
2044,9,,,,,,,,,,
2044,10,,,,,,,,,,
2044,11,,,,,,,,,,
2044,12,,,,,,,,,,
2045,1,,,,,,,,,,
2045,2,,,,,,,,,,
2045,3,,,,,,,,,,
2045,4,,,,,,,,,,
2045,5,,,,,,,,,,
2045,6,,,,,,,,,,
2045,7,,,,,,,,,,
2045,8,,,,,,,,,,
2045,9,,,,,,,,,,
2045,10,,,,,,,,,,
2045,11,,,,,,,,,,
2045,12,,,,,,,,,,
2046,1,,,,,,,,,,
2046,2,,,,,,,,,,
2046,3,,,,,,,,,,
2046,4,,,,,,,,,,
2046,5,,,,,,,,,,
2046,6,,,,,,,,,,
2046,7,,,,,,,,,,
2046,8,,,,,,,,,,
2046,9,,,,,,,,,,
2046,10,,,,,,,,,,
2046,11,,,,,,,,,,
2046,12,,,,,,,,,,
2047,1,,,,,,,,,,
2047,2,,,,,,,,,,
2047,3,,,,,,,,,,
2047,4,,,,,,,,,,
2047,5,,,,,,,,,,
2047,6,,,,,,,,,,
2047,7,,,,,,,,,,
2047,8,,,,,,,,,,
2047,9,,,,,,,,,,
2047,10,,,,,,,,,,
2047,11,,,,,,,,,,
2047,12,,,,,,,,,,
2048,1,,,,,,,,,,
2048,2,,,,,,,,,,
2048,3,,,,,,,,,,
2048,4,,,,,,,,,,
2048,5,,,,,,,,,,
2048,6,,,,,,,,,,
2048,7,,,,,,,,,,
2048,8,,,,,,,,,,
2048,9,,,,,,,,,,
2048,10,,,,,,,,,,
2048,11,,,,,,,,,,
2048,12,,,,,,,,,,
2049,1,,,,,,,,,,
2049,2,,,,,,,,,,
2049,3,,,,,,,,,,
2049,4,,,,,,,,,,
2049,5,,,,,,,,,,
2049,6,,,,,,,,,,
2049,7,,,,,,,,,,
2049,8,,,,,,,,,,
2049,9,,,,,,,,,,
2049,10,,,,,,,,,,
2049,11,,,,,,,,,,
2049,12,,,,,,,,,,
2050,1,,,,,,,,,,
2050,2,,,,,,,,,,
2050,3,,,,,,,,,,
2050,4,,,,,,,,,,
2050,5,,,,,,,,,,
2050,6,,,,,,,,,,
2050,7,,,,,,,,,,
2050,8,,,,,,,,,,
2050,9,,,,,,,,,,
2050,10,,,,,,,,,,
2050,11,,,,,,,,,,
2050,12,,,,,,,,,,
