;,Urban 3,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
2018,2,17058.03,4.59,4.78,3.17,6.07,1.60,16.98,2.98,0.70,22.11
2018,3,17058.03,0.89,10.30,2.07,6.22,1.54,7.28,2.98,0.09,38.76
2018,4,19582.68,10.13,4.37,1.68,2.70,4.32,4.08,2.77,1.13,59.86
2018,5,19582.68,2.40,1.94,2.63,2.93,0.85,1.22,2.57,0.00,12.50
2018,6,19582.68,6.27,4.95,4.43,6.34,3.00,2.27,3.58,0.00,0.00
2018,7,19582.68,0.64,1.84,2.51,4.31,0.55,6.77,1.85,0.56,0.00
2018,8,19582.68,1.23,1.27,3.08,1.99,0.70,1.65,1.73,0.91,0.00
2018,9,17058.03,4.70,0.50,3.25,0.00,0.70,13.64,13.55,1.79,0.03
2018,10,17058.03,1.75,3.14,2.26,2.79,0.27,2.51,1.41,0.00,0.83
2018,11,17058.03,1.51,2.38,3.31,5.51,0.35,4.52,4.10,0.00,8.33
2018,12,17058.03,0.27,0.89,1.83,5.20,0.00,15.10,15.70,0.00,0.00
2019,1,17092.22,6.45,3.53,3.10,12.29,1.71,11.88,6.86,3.05,0.18
2019,2,17092.22,8.76,4.10,3.37,9.89,1.61,12.75,4.67,2.89,17.47
2019,3,17092.22,1.98,2.44,1.13,7.52,1.35,5.74,3.24,2.37,7.77
2019,4,19435.46,1.90,1.28,0.00,1.48,2.00,1.67,1.95,0.20,86.15
2019,5,19435.46,5.81,4.74,2.90,6.23,2.71,1.83,3.18,0.20,12.50
2019,6,19435.46,8.20,3.74,1.87,10.11,3.58,1.91,10.59,0.66,0.00
2019,7,19435.46,10.01,3.69,0.84,6.15,0.64,2.58,7.19,0.57,0.00
2019,8,19435.46,10.90,3.98,2.31,6.12,2.79,2.65,7.46,1.11,0.00
2019,9,17092.22,2.85,3.67,3.40,9.15,5.19,2.28,12.54,2.71,0.00
2019,10,17092.22,4.83,1.74,0.01,1.45,0.62,5.16,2.40,0.73,1.25
2019,11,17092.22,4.72,5.00,4.08,7.90,0.96,9.34,9.65,3.30,12.50
2019,12,17092.22,6.45,3.19,1.01,2.90,2.14,12.80,5.04,0.82,0.00
2020,1,10178.61,14.67,2.65,0.63,9.58,1.94,14.96,8.52,0.12,2.48
2020,2,10178.61,5.86,1.63,4.72,6.12,1.24,18.94,8.67,1.33,20.01
2020,3,10178.61,9.25,5.97,1.66,5.45,2.41,3.69,4.53,1.71,58.42
2020,4,19540.91,8.90,4.28,0.40,6.33,2.64,7.19,5.02,2.27,1.63
2020,5,19540.91,10.66,2.35,1.56,6.22,1.79,3.55,6.81,4.45,0.00
2020,6,19540.91,8.25,6.20,1.73,6.30,3.45,5.77,6.95,1.32,0.00
2020,7,19540.91,3.94,4.04,2.54,6.40,1.81,2.65,3.15,0.53,0.00
2020,8,19540.91,5.02,10.45,2.19,4.56,2.63,4.66,6.48,0.14,0.00
2020,9,10178.61,6.83,5.00,2.80,3.02,3.18,3.91,3.96,2.13,0.25
2020,10,10178.61,6.94,3.86,2.63,5.29,1.44,8.33,6.78,1.07,0.00
2020,11,10178.61,5.09,2.80,2.45,8.28,1.56,4.12,7.20,1.84,3.50
2020,12,10178.61,8.33,1.96,1.20,6.12,0.73,10.23,5.68,1.12,0.00
2021,1,15619.22,5.92,7.11,3.92,9.38,1.84,6.03,7.30,0.54,1.00
2021,2,15619.22,7.88,6.29,6.89,10.94,1.44,16.13,4.29,1.20,6.00
2021,3,15619.22,7.69,4.60,2.05,5.90,1.80,15.01,6.87,1.88,2.00
2021,4,17626.75,3.19,4.89,1.15,4.65,2.78,4.77,3.00,0.33,19.57
2021,5,17626.75,4.30,3.44,1.79,3.92,1.92,3.00,3.98,0.81,0.20
2021,6,17626.75,5.43,4.44,3.18,2.35,3.66,4.98,3.78,0.58,0.00
2021,7,17626.75,10.13,6.63,3.32,13.95,1.46,5.62,9.53,3.16,0.00
2021,8,17626.75,2.76,1.88,1.63,4.69,2.10,2.12,2.41,0.75,0.00
2021,9,15619.22,8.62,6.77,3.66,7.01,2.90,9.24,8.92,1.46,0.00
2021,10,15619.22,9.59,3.37,4.95,10.08,1.07,5.26,9.08,2.19,0.00
2021,11,15619.22,12.88,6.24,5.46,21.19,1.61,13.08,12.57,3.64,0.00
2021,12,15619.22,9.01,4.41,2.10,5.18,0.85,7.46,5.88,1.36,0.00
2022,1,15648.06,8.14,2.83,1.54,15.41,2.20,11.26,10.25,2.00,0.00
2022,2,15648.06,7.12,1.82,2.29,12.45,1.15,11.28,4.55,1.07,31.40
2022,3,15648.06,9.85,5.12,5.51,8.49,5.05,6.05,9.82,0.22,100.75
2022,4,15648.06,8.69,6.38,3.54,9.24,4.15,5.30,9.55,2.65,7.30
2022,5,15648.06,2.42,3.45,4.20,7.01,2.03,2.90,4.46,0.03,12.50
2022,6,15648.06,6.86,3.86,2.52,3.86,2.25,4.21,4.69,0.49,0.00
2022,7,15648.06,8.45,9.32,2.22,14.46,3.03,4.04,10.89,1.96,0.00
2022,8,15648.06,13.07,10.43,5.39,11.98,5.64,4.25,9.38,1.36,0.00
2022,9,15648.06,9.23,9.68,4.59,13.40,7.76,7.77,9.08,3.11,0.10
2022,10,15648.06,3.43,3.54,2.06,7.63,3.90,4.94,7.71,2.74,0.00
2022,11,15648.06,8.45,3.44,1.44,5.89,2.70,8.20,4.27,2.16,0.00
2022,12,15648.06,5.12,1.77,1.93,4.26,0.82,9.29,6.71,0.60,0.00
2023,1,15105.57,3.02,3.42,2.37,3.84,1.49,10.27,3.54,0.71,0.15
2023,2,15105.57,5.94,3.88,2.97,3.76,1.50,14.86,6.16,1.20,12.43
2023,3,15105.57,10.25,4.49,2.26,8.98,1.28,11.04,6.28,0.45,14.36
2023,4,18719.06,5.83,2.20,2.37,3.13,2.30,3.88,6.41,1.70,170.93
2023,5,18719.06,9.70,4.08,4.22,5.91,2.45,3.69,6.98,0.46,2.15
2023,6,18719.06,4.80,3.79,2.10,4.77,4.85,2.03,6.14,1.30,0.00
2023,7,18719.06,11.75,6.16,3.05,7.49,2.46,3.24,6.86,0.66,0.00
2023,8,18719.06,3.07,6.03,4.89,6.75,1.72,1.69,3.84,0.20,0.00
2023,9,15105.57,8.44,6.00,4.89,10.22,2.25,5.27,7.55,1.43,0.00
2023,10,15105.57,3.77,3.28,1.48,2.43,1.59,5.17,2.44,1.32,2.50
2023,11,15105.57,8.95,5.34,2.96,13.54,3.62,5.72,5.91,1.36,25.00
2023,12,15105.57,2.94,3.41,1.22,4.06,0.65,5.23,2.70,0.95,0.00
2024,1,14127.54,1.58,2.38,2.64,8.21,1.93,12.70,3.95,0.80,0.20
2024,2,14127.54,7.24,5.69,2.85,10.92,1.27,13.90,6.30,0.34,22.50
2024,3,14127.54,7.56,4.40,1.45,5.91,2.34,6.86,4.91,2.09,1.17
2024,4,16229.38,8.46,9.69,1.73,12.42,2.66,6.29,6.72,0.39,1.36
2024,5,16229.38,2.17,4.05,3.78,9.21,1.81,4.40,11.87,0.30,22.85
2024,6,16229.38,5.86,6.46,5.96,12.27,3.47,5.21,8.93,0.26,0.00
2024,7,16229.38,5.30,7.25,4.10,12.84,1.77,3.73,14.41,0.70,0.00
2024,8,16229.38,10.59,8.38,3.78,10.18,2.57,4.36,11.94,1.36,0.00
2024,9,14127.54,6.70,3.56,3.24,5.83,3.15,4.79,7.36,1.20,0.00
2024,10,14127.54,7.30,5.32,3.14,6.24,1.39,9.58,9.61,1.25,0.00
2024,11,14127.54,6.22,3.82,3.65,16.07,1.57,5.58,8.55,1.58,0.00
2024,12,14127.54,2.94,1.56,0.50,5.15,0.75,6.53,2.65,0.20,0.00
2025,1,,,,,,,,,,
2025,2,,,,,,,,,,
2025,3,,,,,,,,,,
2025,4,,,,,,,,,,
2025,5,,,,,,,,,,
2025,6,,,,,,,,,,
2025,7,,,,,,,,,,
2025,8,,,,,,,,,,
2025,9,,,,,,,,,,
2025,10,,,,,,,,,,
2025,11,,,,,,,,,,
2025,12,,,,,,,,,,
2026,1,,,,,,,,,,
2026,2,,,,,,,,,,
2026,3,,,,,,,,,,
2026,4,,,,,,,,,,
2026,5,,,,,,,,,,
2026,6,,,,,,,,,,
2026,7,,,,,,,,,,
2026,8,,,,,,,,,,
2026,9,,,,,,,,,,
2026,10,,,,,,,,,,
2026,11,,,,,,,,,,
2026,12,,,,,,,,,,
2027,1,,,,,,,,,,
2027,2,,,,,,,,,,
2027,3,,,,,,,,,,
2027,4,,,,,,,,,,
2027,5,,,,,,,,,,
2027,6,,,,,,,,,,
2027,7,,,,,,,,,,
2027,8,,,,,,,,,,
2027,9,,,,,,,,,,
2027,10,,,,,,,,,,
2027,11,,,,,,,,,,
2027,12,,,,,,,,,,
2028,1,,,,,,,,,,
2028,2,,,,,,,,,,
2028,3,,,,,,,,,,
2028,4,,,,,,,,,,
2028,5,,,,,,,,,,
2028,6,,,,,,,,,,
2028,7,,,,,,,,,,
2028,8,,,,,,,,,,
2028,9,,,,,,,,,,
2028,10,,,,,,,,,,
2028,11,,,,,,,,,,
2028,12,,,,,,,,,,
2029,1,,,,,,,,,,
2029,2,,,,,,,,,,
2029,3,,,,,,,,,,
2029,4,,,,,,,,,,
2029,5,,,,,,,,,,
2029,6,,,,,,,,,,
2029,7,,,,,,,,,,
2029,8,,,,,,,,,,
2029,9,,,,,,,,,,
2029,10,,,,,,,,,,
2029,11,,,,,,,,,,
2029,12,,,,,,,,,,
2030,1,,,,,,,,,,
2030,2,,,,,,,,,,
2030,3,,,,,,,,,,
2030,4,,,,,,,,,,
2030,5,,,,,,,,,,
2030,6,,,,,,,,,,
2030,7,,,,,,,,,,
2030,8,,,,,,,,,,
2030,9,,,,,,,,,,
2030,10,,,,,,,,,,
2030,11,,,,,,,,,,
2030,12,,,,,,,,,,
2031,1,,,,,,,,,,
2031,2,,,,,,,,,,
2031,3,,,,,,,,,,
2031,4,,,,,,,,,,
2031,5,,,,,,,,,,
2031,6,,,,,,,,,,
2031,7,,,,,,,,,,
2031,8,,,,,,,,,,
2031,9,,,,,,,,,,
2031,10,,,,,,,,,,
2031,11,,,,,,,,,,
2031,12,,,,,,,,,,
2032,1,,,,,,,,,,
2032,2,,,,,,,,,,
2032,3,,,,,,,,,,
2032,4,,,,,,,,,,
2032,5,,,,,,,,,,
2032,6,,,,,,,,,,
2032,7,,,,,,,,,,
2032,8,,,,,,,,,,
2032,9,,,,,,,,,,
2032,10,,,,,,,,,,
2032,11,,,,,,,,,,
2032,12,,,,,,,,,,
2033,1,,,,,,,,,,
2033,2,,,,,,,,,,
2033,3,,,,,,,,,,
2033,4,,,,,,,,,,
2033,5,,,,,,,,,,
2033,6,,,,,,,,,,
2033,7,,,,,,,,,,
2033,8,,,,,,,,,,
2033,9,,,,,,,,,,
2033,10,,,,,,,,,,
2033,11,,,,,,,,,,
2033,12,,,,,,,,,,
2034,1,,,,,,,,,,
2034,2,,,,,,,,,,
2034,3,,,,,,,,,,
2034,4,,,,,,,,,,
2034,5,,,,,,,,,,
2034,6,,,,,,,,,,
2034,7,,,,,,,,,,
2034,8,,,,,,,,,,
2034,9,,,,,,,,,,
2034,10,,,,,,,,,,
2034,11,,,,,,,,,,
2034,12,,,,,,,,,,
2035,1,,,,,,,,,,
2035,2,,,,,,,,,,
2035,3,,,,,,,,,,
2035,4,,,,,,,,,,
2035,5,,,,,,,,,,
2035,6,,,,,,,,,,
2035,7,,,,,,,,,,
2035,8,,,,,,,,,,
2035,9,,,,,,,,,,
2035,10,,,,,,,,,,
2035,11,,,,,,,,,,
2035,12,,,,,,,,,,
2036,1,,,,,,,,,,
2036,2,,,,,,,,,,
2036,3,,,,,,,,,,
2036,4,,,,,,,,,,
2036,5,,,,,,,,,,
2036,6,,,,,,,,,,
2036,7,,,,,,,,,,
2036,8,,,,,,,,,,
2036,9,,,,,,,,,,
2036,10,,,,,,,,,,
2036,11,,,,,,,,,,
2036,12,,,,,,,,,,
2037,1,,,,,,,,,,
2037,2,,,,,,,,,,
2037,3,,,,,,,,,,
2037,4,,,,,,,,,,
2037,5,,,,,,,,,,
2037,6,,,,,,,,,,
2037,7,,,,,,,,,,
2037,8,,,,,,,,,,
2037,9,,,,,,,,,,
2037,10,,,,,,,,,,
2037,11,,,,,,,,,,
2037,12,,,,,,,,,,
2038,1,,,,,,,,,,
2038,2,,,,,,,,,,
2038,3,,,,,,,,,,
2038,4,,,,,,,,,,
2038,5,,,,,,,,,,
2038,6,,,,,,,,,,
2038,7,,,,,,,,,,
2038,8,,,,,,,,,,
2038,9,,,,,,,,,,
2038,10,,,,,,,,,,
2038,11,,,,,,,,,,
2038,12,,,,,,,,,,
2039,1,,,,,,,,,,
2039,2,,,,,,,,,,
2039,3,,,,,,,,,,
2039,4,,,,,,,,,,
2039,5,,,,,,,,,,
2039,6,,,,,,,,,,
2039,7,,,,,,,,,,
2039,8,,,,,,,,,,
2039,9,,,,,,,,,,
2039,10,,,,,,,,,,
2039,11,,,,,,,,,,
2039,12,,,,,,,,,,
2040,1,,,,,,,,,,
2040,2,,,,,,,,,,
2040,3,,,,,,,,,,
2040,4,,,,,,,,,,
2040,5,,,,,,,,,,
2040,6,,,,,,,,,,
2040,7,,,,,,,,,,
2040,8,,,,,,,,,,
2040,9,,,,,,,,,,
2040,10,,,,,,,,,,
2040,11,,,,,,,,,,
2040,12,,,,,,,,,,
2041,1,,,,,,,,,,
2041,2,,,,,,,,,,
2041,3,,,,,,,,,,
2041,4,,,,,,,,,,
2041,5,,,,,,,,,,
2041,6,,,,,,,,,,
2041,7,,,,,,,,,,
2041,8,,,,,,,,,,
2041,9,,,,,,,,,,
2041,10,,,,,,,,,,
2041,11,,,,,,,,,,
2041,12,,,,,,,,,,
2042,1,,,,,,,,,,
2042,2,,,,,,,,,,
2042,3,,,,,,,,,,
2042,4,,,,,,,,,,
2042,5,,,,,,,,,,
2042,6,,,,,,,,,,
2042,7,,,,,,,,,,
2042,8,,,,,,,,,,
2042,9,,,,,,,,,,
2042,10,,,,,,,,,,
2042,11,,,,,,,,,,
2042,12,,,,,,,,,,
2043,1,,,,,,,,,,
2043,2,,,,,,,,,,
2043,3,,,,,,,,,,
2043,4,,,,,,,,,,
2043,5,,,,,,,,,,
2043,6,,,,,,,,,,
2043,7,,,,,,,,,,
2043,8,,,,,,,,,,
2043,9,,,,,,,,,,
2043,10,,,,,,,,,,
2043,11,,,,,,,,,,
2043,12,,,,,,,,,,
2044,1,,,,,,,,,,
2044,2,,,,,,,,,,
2044,3,,,,,,,,,,
2044,4,,,,,,,,,,
2044,5,,,,,,,,,,
2044,6,,,,,,,,,,
2044,7,,,,,,,,,,
2044,8,,,,,,,,,,
2044,9,,,,,,,,,,
2044,10,,,,,,,,,,
2044,11,,,,,,,,,,
2044,12,,,,,,,,,,
2045,1,,,,,,,,,,
2045,2,,,,,,,,,,
2045,3,,,,,,,,,,
2045,4,,,,,,,,,,
2045,5,,,,,,,,,,
2045,6,,,,,,,,,,
2045,7,,,,,,,,,,
2045,8,,,,,,,,,,
2045,9,,,,,,,,,,
2045,10,,,,,,,,,,
2045,11,,,,,,,,,,
2045,12,,,,,,,,,,
2046,1,,,,,,,,,,
2046,2,,,,,,,,,,
2046,3,,,,,,,,,,
2046,4,,,,,,,,,,
2046,5,,,,,,,,,,
2046,6,,,,,,,,,,
2046,7,,,,,,,,,,
2046,8,,,,,,,,,,
2046,9,,,,,,,,,,
2046,10,,,,,,,,,,
2046,11,,,,,,,,,,
2046,12,,,,,,,,,,
2047,1,,,,,,,,,,
2047,2,,,,,,,,,,
2047,3,,,,,,,,,,
2047,4,,,,,,,,,,
2047,5,,,,,,,,,,
2047,6,,,,,,,,,,
2047,7,,,,,,,,,,
2047,8,,,,,,,,,,
2047,9,,,,,,,,,,
2047,10,,,,,,,,,,
2047,11,,,,,,,,,,
2047,12,,,,,,,,,,
2048,1,,,,,,,,,,
2048,2,,,,,,,,,,
2048,3,,,,,,,,,,
2048,4,,,,,,,,,,
2048,5,,,,,,,,,,
2048,6,,,,,,,,,,
2048,7,,,,,,,,,,
2048,8,,,,,,,,,,
2048,9,,,,,,,,,,
2048,10,,,,,,,,,,
2048,11,,,,,,,,,,
2048,12,,,,,,,,,,
2049,1,,,,,,,,,,
2049,2,,,,,,,,,,
2049,3,,,,,,,,,,
2049,4,,,,,,,,,,
2049,5,,,,,,,,,,
2049,6,,,,,,,,,,
2049,7,,,,,,,,,,
2049,8,,,,,,,,,,
2049,9,,,,,,,,,,
2049,10,,,,,,,,,,
2049,11,,,,,,,,,,
2049,12,,,,,,,,,,
2050,1,,,,,,,,,,
2050,2,,,,,,,,,,
2050,3,,,,,,,,,,
2050,4,,,,,,,,,,
2050,5,,,,,,,,,,
2050,6,,,,,,,,,,
2050,7,,,,,,,,,,
2050,8,,,,,,,,,,
2050,9,,,,,,,,,,
2050,10,,,,,,,,,,
2050,11,,,,,,,,,,
2050,12,,,,,,,,,,
