;,Urban 4,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
2018,5,3184.48,0.16,0.72,,0.14,1.22,0.03,0.42,0.38,
2018,6,3184.48,0.73,0.55,,0.00,0.04,0.10,0.28,0.00,
2018,7,3184.48,1.36,0.30,,0.65,1.26,0.30,1.95,1.40,
2018,8,3184.48,2.29,0.18,,0.62,0.95,0.16,0.35,0.04,
2018,9,1285.69,0.04,0.28,,0.08,0.44,1.18,1.41,0.07,
2018,10,1285.69,0.60,0.51,,0.16,0.37,0.88,1.38,0.14,
2018,11,1285.69,0.04,0.29,,0.16,0.11,0.24,0.73,0.05,
2018,12,1285.69,1.60,1.92,,0.30,0.00,0.63,0.22,0.11,
2019,1,1076.73,0.59,0.39,0.29,0.21,0.21,1.79,0.89,0.16,
2019,2,1076.73,0.27,0.24,0.10,0.15,0.50,0.64,1.16,0.52,
2019,3,1076.73,0.06,0.60,0.18,0.43,0.17,0.23,1.23,0.07,
2019,4,3043.33,0.29,0.25,0.08,0.24,0.42,0.13,0.30,0.06,
2019,5,3043.33,0.49,1.57,0.43,0.21,1.05,0.10,0.62,0.05,
2019,6,3043.33,0.58,3.98,0.72,0.09,1.34,0.13,1.08,0.10,
2019,7,3043.33,0.95,2.60,1.18,0.25,0.48,0.14,0.17,0.71,
2019,8,3043.33,1.81,0.49,0.80,0.37,0.46,0.09,1.19,0.01,
2019,9,1076.73,0.63,0.08,0.52,0.26,0.01,0.30,0.62,0.53,
2019,10,1076.73,0.43,2.39,0.52,0.82,1.29,1.96,1.72,0.10,
2019,11,1076.73,1.34,1.68,0.78,0.32,0.77,0.52,0.53,0.70,
2019,12,1076.73,0.00,0.03,0.01,0.18,0.04,0.66,0.22,0.25,
2020,1,296.74,0.27,0.56,0.34,0.58,,0.36,0.71,0.21,5.00
2020,2,296.74,1.76,1.37,0.96,0.38,,1.64,1.57,0.46,6.00
2020,3,296.74,0.19,1.93,0.68,0.54,,0.47,1.52,0.02,3.20
2020,4,2586.46,0.95,2.48,0.89,1.06,,1.66,1.73,0.24,3.10
2020,5,2586.46,0.08,2.20,0.87,4.95,,1.34,5.34,1.50,0.00
2020,6,2586.46,3.74,3.95,1.52,1.42,,2.52,2.41,0.77,0.00
2020,7,2586.46,1.94,2.61,0.81,1.38,,0.30,2.39,0.06,0.00
2020,8,2586.46,0.10,1.34,0.57,0.05,,1.11,1.12,0.30,0.00
2020,9,296.74,0.05,0.61,0.36,0.20,,0.24,0.67,0.09,0.00
2020,10,296.74,0.36,1.94,0.33,0.33,,1.36,1.95,0.10,3.50
2020,11,296.74,1.34,0.31,0.29,0.13,,1.32,1.23,0.33,7.00
2020,12,296.74,3.90,0.85,0.13,0.39,,0.18,0.91,0.63,0.00
2021,1,1228.79,1.46,1.96,1.21,,0.65,3.94,2.22,0.79,15.77
2021,2,1228.79,0.42,0.94,0.28,,0.28,1.84,2.14,0.57,3.50
2021,3,1228.79,1.37,1.02,0.25,,0.59,1.07,2.11,0.62,0.05
2021,4,2526.44,1.79,1.49,0.38,,1.71,1.47,3.63,0.78,1.00
2021,5,2526.44,0.65,0.87,0.46,,0.37,0.48,0.88,0.13,0.00
2021,6,2526.44,1.68,3.18,1.01,,0.68,1.04,1.97,0.42,0.00
2021,7,2526.44,1.41,1.52,1.58,,0.65,0.34,1.49,0.00,0.00
2021,8,2526.44,0.60,0.52,0.56,,0.41,0.34,0.60,0.10,0.00
2021,9,1228.79,0.76,2.04,1.17,,0.36,0.84,1.79,0.30,0.00
2021,10,1228.79,1.20,0.27,0.22,,0.19,0.05,0.59,0.40,0.00
2021,11,1228.79,1.51,1.81,1.48,,0.41,1.07,1.24,0.33,4.85
2021,12,1228.79,1.48,0.26,0.21,,0.40,0.37,1.09,0.33,0.00
2022,1,996.37,1.13,0.44,0.05,0.59,0.15,0.57,2.31,0.80,2.90
2022,2,996.37,3.43,0.97,0.26,1.30,0.20,0.82,4.10,0.35,1.61
2022,3,996.37,0.16,0.54,0.34,0.03,0.21,0.94,0.47,0.45,1.00
2022,4,2400.73,1.73,0.08,0.00,0.50,2.45,0.34,1.17,0.91,1.52
2022,5,2400.73,1.41,0.91,0.25,1.28,0.42,0.20,2.23,0.21,0.00
2022,6,2400.73,0.49,0.56,2.01,0.69,0.36,0.65,1.71,0.61,0.00
2022,7,2400.73,1.58,2.32,1.14,0.84,0.80,0.68,1.31,0.36,0.00
2022,8,2400.73,2.54,3.06,1.97,0.99,1.59,0.48,2.36,0.72,0.00
2022,9,996.37,1.66,2.43,1.88,1.41,1.01,0.48,4.57,0.78,0.00
2022,10,996.37,1.97,2.20,1.94,1.36,2.22,1.96,3.20,1.21,0.62
2022,11,996.37,1.86,1.11,0.43,1.07,0.91,0.81,2.78,0.09,4.77
2022,12,996.37,0.08,0.76,0.22,0.28,0.32,0.38,0.57,0.17,20.70
2023,1,1104.55,2.50,2.55,0.62,0.92,0.90,2.44,4.96,1.29,0.00
2023,2,1104.55,1.93,0.82,0.79,1.15,0.94,0.26,3.37,1.04,1.15
2023,3,1104.55,2.42,3.74,1.08,1.64,1.68,1.16,4.24,1.64,0.91
2023,4,2340.18,2.35,1.50,0.87,0.89,1.47,0.53,2.71,1.01,0.00
2023,5,2340.18,0.73,1.32,0.61,1.28,1.03,0.41,1.73,0.81,0.00
2023,6,2340.18,3.14,1.69,1.03,2.03,1.64,0.51,5.14,0.99,0.00
2023,7,2340.18,2.28,1.84,1.22,1.54,1.59,1.10,3.04,1.18,0.10
2023,8,2340.18,1.57,2.19,2.27,2.17,0.91,0.73,3.99,0.53,0.00
2023,9,1104.55,1.67,1.32,0.47,2.53,0.73,0.57,3.78,0.56,0.00
2023,10,1104.55,0.94,1.16,0.56,1.00,0.45,0.19,1.31,0.54,0.00
2023,11,1104.55,3.16,1.50,0.37,1.45,1.39,0.64,1.83,0.68,0.50
2023,12,1104.55,5.07,1.46,0.80,2.42,2.38,0.68,3.82,1.60,0.00
2024,1,1087.26,0.10,1.28,0.43,0.19,,0.32,0.54,0.15,0.00
2024,2,1087.26,3.73,2.27,0.80,2.76,,0.74,9.59,2.24,20.80
2024,3,1087.26,10.61,1.13,0.26,3.08,,1.34,3.75,0.79,0.95
2024,4,2109.03,2.49,1.47,0.36,0.95,,1.00,3.57,1.25,0.00
2024,5,2109.03,1.64,1.26,0.37,2.74,,0.76,2.77,0.79,0.00
2024,6,2109.03,1.44,1.39,0.65,2.89,,0.42,5.79,0.37,0.00
2024,7,2109.03,2.38,0.68,0.61,4.59,,0.52,6.23,0.71,0.00
2024,8,2109.03,2.73,2.38,1.64,5.13,,0.88,5.46,0.15,0.00
2024,9,1087.26,0.75,0.94,0.44,0.06,,0.83,0.41,0.00,0.00
2024,10,1087.26,0.23,0.63,0.12,0.89,,0.32,1.00,0.01,0.00
2024,11,1087.26,0.51,1.02,1.29,0.58,,1.02,1.10,0.00,0.00
2024,12,1087.26,1.71,1.28,0.50,1.04,,0.56,1.20,1.56,1.86
2025,1,,,,,,,,,,
2025,2,,,,,,,,,,
2025,3,,,,,,,,,,
2025,4,,,,,,,,,,
2025,5,,,,,,,,,,
2025,6,,,,,,,,,,
2025,7,,,,,,,,,,
2025,8,,,,,,,,,,
2025,9,,,,,,,,,,
2025,10,,,,,,,,,,
2025,11,,,,,,,,,,
2025,12,,,,,,,,,,
2026,1,,,,,,,,,,
2026,2,,,,,,,,,,
2026,3,,,,,,,,,,
2026,4,,,,,,,,,,
2026,5,,,,,,,,,,
2026,6,,,,,,,,,,
2026,7,,,,,,,,,,
2026,8,,,,,,,,,,
2026,9,,,,,,,,,,
2026,10,,,,,,,,,,
2026,11,,,,,,,,,,
2026,12,,,,,,,,,,
2027,1,,,,,,,,,,
2027,2,,,,,,,,,,
2027,3,,,,,,,,,,
2027,4,,,,,,,,,,
2027,5,,,,,,,,,,
2027,6,,,,,,,,,,
2027,7,,,,,,,,,,
2027,8,,,,,,,,,,
2027,9,,,,,,,,,,
2027,10,,,,,,,,,,
2027,11,,,,,,,,,,
2027,12,,,,,,,,,,
2028,1,,,,,,,,,,
2028,2,,,,,,,,,,
2028,3,,,,,,,,,,
2028,4,,,,,,,,,,
2028,5,,,,,,,,,,
2028,6,,,,,,,,,,
2028,7,,,,,,,,,,
2028,8,,,,,,,,,,
2028,9,,,,,,,,,,
2028,10,,,,,,,,,,
2028,11,,,,,,,,,,
2028,12,,,,,,,,,,
2029,1,,,,,,,,,,
2029,2,,,,,,,,,,
2029,3,,,,,,,,,,
2029,4,,,,,,,,,,
2029,5,,,,,,,,,,
2029,6,,,,,,,,,,
2029,7,,,,,,,,,,
2029,8,,,,,,,,,,
2029,9,,,,,,,,,,
2029,10,,,,,,,,,,
2029,11,,,,,,,,,,
2029,12,,,,,,,,,,
2030,1,,,,,,,,,,
2030,2,,,,,,,,,,
2030,3,,,,,,,,,,
2030,4,,,,,,,,,,
2030,5,,,,,,,,,,
2030,6,,,,,,,,,,
2030,7,,,,,,,,,,
2030,8,,,,,,,,,,
2030,9,,,,,,,,,,
2030,10,,,,,,,,,,
2030,11,,,,,,,,,,
2030,12,,,,,,,,,,
2031,1,,,,,,,,,,
2031,2,,,,,,,,,,
2031,3,,,,,,,,,,
2031,4,,,,,,,,,,
2031,5,,,,,,,,,,
2031,6,,,,,,,,,,
2031,7,,,,,,,,,,
2031,8,,,,,,,,,,
2031,9,,,,,,,,,,
2031,10,,,,,,,,,,
2031,11,,,,,,,,,,
2031,12,,,,,,,,,,
2032,1,,,,,,,,,,
2032,2,,,,,,,,,,
2032,3,,,,,,,,,,
2032,4,,,,,,,,,,
2032,5,,,,,,,,,,
2032,6,,,,,,,,,,
2032,7,,,,,,,,,,
2032,8,,,,,,,,,,
2032,9,,,,,,,,,,
2032,10,,,,,,,,,,
2032,11,,,,,,,,,,
2032,12,,,,,,,,,,
2033,1,,,,,,,,,,
2033,2,,,,,,,,,,
2033,3,,,,,,,,,,
2033,4,,,,,,,,,,
2033,5,,,,,,,,,,
2033,6,,,,,,,,,,
2033,7,,,,,,,,,,
2033,8,,,,,,,,,,
2033,9,,,,,,,,,,
2033,10,,,,,,,,,,
2033,11,,,,,,,,,,
2033,12,,,,,,,,,,
2034,1,,,,,,,,,,
2034,2,,,,,,,,,,
2034,3,,,,,,,,,,
2034,4,,,,,,,,,,
2034,5,,,,,,,,,,
2034,6,,,,,,,,,,
2034,7,,,,,,,,,,
2034,8,,,,,,,,,,
2034,9,,,,,,,,,,
2034,10,,,,,,,,,,
2034,11,,,,,,,,,,
2034,12,,,,,,,,,,
2035,1,,,,,,,,,,
2035,2,,,,,,,,,,
2035,3,,,,,,,,,,
2035,4,,,,,,,,,,
2035,5,,,,,,,,,,
2035,6,,,,,,,,,,
2035,7,,,,,,,,,,
2035,8,,,,,,,,,,
2035,9,,,,,,,,,,
2035,10,,,,,,,,,,
2035,11,,,,,,,,,,
2035,12,,,,,,,,,,
2036,1,,,,,,,,,,
2036,2,,,,,,,,,,
2036,3,,,,,,,,,,
2036,4,,,,,,,,,,
2036,5,,,,,,,,,,
2036,6,,,,,,,,,,
2036,7,,,,,,,,,,
2036,8,,,,,,,,,,
2036,9,,,,,,,,,,
2036,10,,,,,,,,,,
2036,11,,,,,,,,,,
2036,12,,,,,,,,,,
2037,1,,,,,,,,,,
2037,2,,,,,,,,,,
2037,3,,,,,,,,,,
2037,4,,,,,,,,,,
2037,5,,,,,,,,,,
2037,6,,,,,,,,,,
2037,7,,,,,,,,,,
2037,8,,,,,,,,,,
2037,9,,,,,,,,,,
2037,10,,,,,,,,,,
2037,11,,,,,,,,,,
2037,12,,,,,,,,,,
2038,1,,,,,,,,,,
2038,2,,,,,,,,,,
2038,3,,,,,,,,,,
2038,4,,,,,,,,,,
2038,5,,,,,,,,,,
2038,6,,,,,,,,,,
2038,7,,,,,,,,,,
2038,8,,,,,,,,,,
2038,9,,,,,,,,,,
2038,10,,,,,,,,,,
2038,11,,,,,,,,,,
2038,12,,,,,,,,,,
2039,1,,,,,,,,,,
2039,2,,,,,,,,,,
2039,3,,,,,,,,,,
2039,4,,,,,,,,,,
2039,5,,,,,,,,,,
2039,6,,,,,,,,,,
2039,7,,,,,,,,,,
2039,8,,,,,,,,,,
2039,9,,,,,,,,,,
2039,10,,,,,,,,,,
2039,11,,,,,,,,,,
2039,12,,,,,,,,,,
2040,1,,,,,,,,,,
2040,2,,,,,,,,,,
2040,3,,,,,,,,,,
2040,4,,,,,,,,,,
2040,5,,,,,,,,,,
2040,6,,,,,,,,,,
2040,7,,,,,,,,,,
2040,8,,,,,,,,,,
2040,9,,,,,,,,,,
2040,10,,,,,,,,,,
2040,11,,,,,,,,,,
2040,12,,,,,,,,,,
2041,1,,,,,,,,,,
2041,2,,,,,,,,,,
2041,3,,,,,,,,,,
2041,4,,,,,,,,,,
2041,5,,,,,,,,,,
2041,6,,,,,,,,,,
2041,7,,,,,,,,,,
2041,8,,,,,,,,,,
2041,9,,,,,,,,,,
2041,10,,,,,,,,,,
2041,11,,,,,,,,,,
2041,12,,,,,,,,,,
2042,1,,,,,,,,,,
2042,2,,,,,,,,,,
2042,3,,,,,,,,,,
2042,4,,,,,,,,,,
2042,5,,,,,,,,,,
2042,6,,,,,,,,,,
2042,7,,,,,,,,,,
2042,8,,,,,,,,,,
2042,9,,,,,,,,,,
2042,10,,,,,,,,,,
2042,11,,,,,,,,,,
2042,12,,,,,,,,,,
2043,1,,,,,,,,,,
2043,2,,,,,,,,,,
2043,3,,,,,,,,,,
2043,4,,,,,,,,,,
2043,5,,,,,,,,,,
2043,6,,,,,,,,,,
2043,7,,,,,,,,,,
2043,8,,,,,,,,,,
2043,9,,,,,,,,,,
2043,10,,,,,,,,,,
2043,11,,,,,,,,,,
2043,12,,,,,,,,,,
2044,1,,,,,,,,,,
2044,2,,,,,,,,,,
2044,3,,,,,,,,,,
2044,4,,,,,,,,,,
2044,5,,,,,,,,,,
2044,6,,,,,,,,,,
2044,7,,,,,,,,,,
2044,8,,,,,,,,,,
2044,9,,,,,,,,,,
2044,10,,,,,,,,,,
2044,11,,,,,,,,,,
2044,12,,,,,,,,,,
2045,1,,,,,,,,,,
2045,2,,,,,,,,,,
2045,3,,,,,,,,,,
2045,4,,,,,,,,,,
2045,5,,,,,,,,,,
2045,6,,,,,,,,,,
2045,7,,,,,,,,,,
2045,8,,,,,,,,,,
2045,9,,,,,,,,,,
2045,10,,,,,,,,,,
2045,11,,,,,,,,,,
2045,12,,,,,,,,,,
2046,1,,,,,,,,,,
2046,2,,,,,,,,,,
2046,3,,,,,,,,,,
2046,4,,,,,,,,,,
2046,5,,,,,,,,,,
2046,6,,,,,,,,,,
2046,7,,,,,,,,,,
2046,8,,,,,,,,,,
2046,9,,,,,,,,,,
2046,10,,,,,,,,,,
2046,11,,,,,,,,,,
2046,12,,,,,,,,,,
2047,1,,,,,,,,,,
2047,2,,,,,,,,,,
2047,3,,,,,,,,,,
2047,4,,,,,,,,,,
2047,5,,,,,,,,,,
2047,6,,,,,,,,,,
2047,7,,,,,,,,,,
2047,8,,,,,,,,,,
2047,9,,,,,,,,,,
2047,10,,,,,,,,,,
2047,11,,,,,,,,,,
2047,12,,,,,,,,,,
2048,1,,,,,,,,,,
2048,2,,,,,,,,,,
2048,3,,,,,,,,,,
2048,4,,,,,,,,,,
2048,5,,,,,,,,,,
2048,6,,,,,,,,,,
2048,7,,,,,,,,,,
2048,8,,,,,,,,,,
2048,9,,,,,,,,,,
2048,10,,,,,,,,,,
2048,11,,,,,,,,,,
2048,12,,,,,,,,,,
2049,1,,,,,,,,,,
2049,2,,,,,,,,,,
2049,3,,,,,,,,,,
2049,4,,,,,,,,,,
2049,5,,,,,,,,,,
2049,6,,,,,,,,,,
2049,7,,,,,,,,,,
2049,8,,,,,,,,,,
2049,9,,,,,,,,,,
2049,10,,,,,,,,,,
2049,11,,,,,,,,,,
2049,12,,,,,,,,,,
2050,1,,,,,,,,,,
2050,2,,,,,,,,,,
2050,3,,,,,,,,,,
2050,4,,,,,,,,,,
2050,5,,,,,,,,,,
2050,6,,,,,,,,,,
2050,7,,,,,,,,,,
2050,8,,,,,,,,,,
2050,9,,,,,,,,,,
2050,10,,,,,,,,,,
2050,11,,,,,,,,,,
2050,12,,,,,,,,,,
